Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Apply Leave,Chrome 92.0.4515.159,,,2021-08-19 21:32:08,2021-08-19 22:01:29,29m - 20.472s,FAILED
,,,,,,,
Test Cases/Login Successfully,Chrome 92.0.4515.159,,,2021-08-19 21:32:08,2021-08-19 21:32:19,10.461s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-19 21:32:09,2021-08-19 21:32:13,4.013s,PASSED
"navigateToUrl(""http://localhost/orangehrm/symfony/web/index.php/auth/login"")",Chrome 92.0.4515.159,,,2021-08-19 21:32:13,2021-08-19 21:32:14,0.698s,PASSED
"setText(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 92.0.4515.159,,,2021-08-19 21:32:14,2021-08-19 21:32:15,0.878s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 92.0.4515.159,,,2021-08-19 21:32:15,2021-08-19 21:32:15,0.481s,PASSED
"click(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Password_Submit""))",Chrome 92.0.4515.159,,,2021-08-19 21:32:15,2021-08-19 21:32:17,1.538s,PASSED
,,,,,,,
Test Cases/Apply Leave,Chrome 92.0.4515.159,,,2021-08-19 21:32:19,2021-08-19 21:32:42,22.980s,PASSED
"com.database.mysql.connectDB(""localhost"", ""orangehrm_mysql"", ""3306"", ""root"", null)",Chrome 92.0.4515.159,,,2021-08-19 21:32:20,2021-08-19 21:32:20,0.481s,PASSED
"com.database.mysql.execute(""DELETE FROM `ohrm_leave_request` WHERE `emp_number`=3 AND `date_applied`='2021-09-02' AND `leave_type_id` = 3"")",Chrome 92.0.4515.159,,,2021-08-19 21:32:20,2021-08-19 21:32:20,0.068s,PASSED
"com.database.mysql.execute(""DELETE FROM `ohrm_leave` WHERE `emp_number` = 3 AND `leave_type_id`=3 and (`date`='2021-09-02' or `date`='2021-09-03') "")",Chrome 92.0.4515.159,,,2021-08-19 21:32:20,2021-08-19 21:32:20,0.000s,PASSED
com.database.mysql.closeDatabaseConnection(),Chrome 92.0.4515.159,,,2021-08-19 21:32:20,2021-08-19 21:32:20,0.016s,PASSED
