timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629130688857,446,http://localhost/orangehrm,200,OK,Thread Group 1-1,text,true,,1219733,18666,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,16,0,2
1629130688857,16,http://localhost/orangehrm-0,301,Moved Permanently,Thread Group 1-1,text,true,,624,471,5,5,http://localhost/orangehrm,16,0,2
1629130688873,33,http://localhost/orangehrm-1,302,Found,Thread Group 1-1,text,true,,302,472,5,5,http://localhost/orangehrm/,33,0,0
1629130688906,355,http://localhost/orangehrm-2,200,OK,Thread Group 1-1,text,true,,38831,504,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,352,0,0
1629130689264,3,http://localhost/orangehrm-3,200,OK,Thread Group 1-1,bin,true,,942,594,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/favicon.ico,3,0,0
1629130689271,5,http://localhost/orangehrm-4,200,OK,Thread Group 1-1,text,true,,1426,589,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/reset.css,5,0,1
1629130688974,330,http://localhost/orangehrm,200,OK,Thread Group 1-2,text,true,,1219730,18666,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,1,0,0
1629130689268,4,http://localhost/orangehrm-5,200,OK,Thread Group 1-1,text,true,,2809,590,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/tipTip.css,4,0,0
1629130688974,1,http://localhost/orangehrm-0,301,Moved Permanently,Thread Group 1-2,text,true,,624,471,5,5,http://localhost/orangehrm,1,0,0
1629130689273,2,http://localhost/orangehrm-6,200,OK,Thread Group 1-1,text,true,,33467,614,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,2,0,0
1629130688975,2,http://localhost/orangehrm-1,302,Found,Thread Group 1-2,text,true,,302,472,5,5,http://localhost/orangehrm/,2,0,0
1629130689273,24,http://localhost/orangehrm-7,200,OK,Thread Group 1-1,text,true,,1187,610,5,5,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery.autocomplete.css,24,0,1
1629130688977,288,http://localhost/orangehrm-2,200,OK,Thread Group 1-2,text,true,,38831,504,5,5,http://localhost/orangehrm/symfony/web/index.php/auth/login,285,0,0
