timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629133840695,326,http://localhost/orangehrm,200,OK,Thread Group 1-1,text,true,,1219730,18666,4,4,http://localhost/orangehrm/symfony/web/index.php/auth/login,3,0,2
1629133840695,3,http://localhost/orangehrm-0,301,Moved Permanently,Thread Group 1-1,text,true,,624,471,4,4,http://localhost/orangehrm,3,0,2
1629133840698,19,http://localhost/orangehrm-1,302,Found,Thread Group 1-1,text,true,,302,472,4,4,http://localhost/orangehrm/,19,0,0
1629133840717,274,http://localhost/orangehrm-2,200,OK,Thread Group 1-1,text,true,,38831,504,4,4,http://localhost/orangehrm/symfony/web/index.php/auth/login,272,0,0
1629133840993,2,http://localhost/orangehrm-3,200,OK,Thread Group 1-1,bin,true,,942,594,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/favicon.ico,2,0,0
1629133840995,3,http://localhost/orangehrm-4,200,OK,Thread Group 1-1,text,true,,1426,589,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/reset.css,3,0,1
1629133840998,3,http://localhost/orangehrm-5,200,OK,Thread Group 1-1,text,true,,2808,590,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/tipTip.css,3,0,0
1629133840999,4,http://localhost/orangehrm-6,200,OK,Thread Group 1-1,text,true,,33468,614,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,4,0,0
1629133841000,4,http://localhost/orangehrm-7,200,OK,Thread Group 1-1,text,true,,1187,610,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/jquery/jquery.autocomplete.css,4,0,0
1629133841000,3,http://localhost/orangehrm-8,200,OK,Thread Group 1-1,text,true,,36130,588,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/css/main.css,3,0,0
1629133841001,4,http://localhost/orangehrm-9,200,OK,Thread Group 1-1,text,true,,88538,590,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery-3.4.1.min.js,4,0,0
1629133840998,3,http://localhost/orangehrm-10,200,OK,Thread Group 1-1,text,true,,39522,598,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/validate/jquery.validate.js,3,0,0
1629133841001,9,http://localhost/orangehrm-11,200,OK,Thread Group 1-1,text,true,,17862,588,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.ui.core.js,9,0,0
1629133841001,3,http://localhost/orangehrm-12,200,OK,Thread Group 1-1,text,true,,23147,593,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.autocomplete.js,3,0,0
1629133841003,2,http://localhost/orangehrm-13,200,OK,Thread Group 1-1,text,true,,1092,589,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/orangehrm.autocomplete.js,2,0,0
1629133841003,3,http://localhost/orangehrm-14,200,OK,Thread Group 1-1,text,true,,83618,594,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.ui.datepicker.js,3,0,0
1629133841004,3,http://localhost/orangehrm-15,200,OK,Thread Group 1-1,text,true,,20801,585,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.form.js,3,0,0
1629133841004,3,http://localhost/orangehrm-16,200,OK,Thread Group 1-1,text,true,,5641,596,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.tipTip.minified.js,3,0,0
1629133841005,5,http://localhost/orangehrm-17,200,OK,Thread Group 1-1,text,true,,6067,589,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/bootstrap-modal.js,5,0,0
1629133841006,2,http://localhost/orangehrm-18,200,OK,Thread Group 1-1,text,true,,985,593,4,4,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/js/jquery/jquery.clickoutside.js,2,0,0
